site_id	point_id	Latitude	Longitude	Code.Petit.Plateau	Site	Habitat	Material	Replicate	Control	Control_type
H20_Al_r1	H20	H20-A	4.083099	-52.682203	70-310	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Al_r2	H20	H20-A	4.083099	-52.682203	70-310	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Al_r3	H20	H20-A	4.083099	-52.682203	70-310	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Al_r4	H20	H20-A	4.083099	-52.682203	70-310	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_As_r1	H20	H20-A	4.083099	-52.682203	70-310	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_As_r2	H20	H20-A	4.083099	-52.682203	70-310	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_As_r3	H20	H20-A	4.083099	-52.682203	70-310	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_As_r4	H20	H20-A	4.083099	-52.682203	70-310	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Bl_r1	H20	H20-B	4.083029	-52.682266	70-330	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Bl_r2	H20	H20-B	4.083029	-52.682266	70-330	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Bl_r3	H20	H20-B	4.083029	-52.682266	70-330	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Bl_r4	H20	H20-B	4.083029	-52.682266	70-330	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Bs_r1	H20	H20-B	4.083029	-52.682266	70-330	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Bs_r2	H20	H20-B	4.083029	-52.682266	70-330	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Bs_r3	H20	H20-B	4.083029	-52.682266	70-330	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Bs_r4	H20	H20-B	4.083029	-52.682266	70-330	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Cl_r1	H20	H20-C	4.082965	-52.620778	70-350	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Cl_r2	H20	H20-C	4.082965	-52.620778	70-350	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Cl_r3	H20	H20-C	4.082965	-52.620778	70-350	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Cl_r4	H20	H20-C	4.082965	-52.620778	70-350	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Cs_r1	H20	H20-C	4.082965	-52.620778	70-350	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Cs_r2	H20	H20-C	4.082965	-52.620778	70-350	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Cs_r3	H20	H20-C	4.082965	-52.620778	70-350	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Cs_r4	H20	H20-C	4.082965	-52.620778	70-350	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Dl_r1	H20	H20-D	4.082857	-52.681856	70-370	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Dl_r2	H20	H20-D	4.082857	-52.681856	70-370	Petit Plateau	Terra firme	litter	r2	sample	NA
